"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","","test_non_root_db_migration[Django non-root]","tests.integration.general","","unknown","","","test_non_root_db_migration","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","41405","test_smtp_integrations[fastapi_app-8080]","tests.integration.integrations","2026-08-15","passed","2026-08-15","","test_smtp","",""
"
    arrange: Deploy 12-factor app and http proxy configurator correctly configured.
    act: Relate the http proxy configurator with the 12-factor app.
    assert: The correct proxy env vars from the relation are set in the 12-factor app.
    ","63432","test_proxy_integration[flask_app-8000]","tests.integration.integrations","2026-08-15","passed","2026-08-15","","test_http_proxy","",""
"
    arrange: build and deploy the flask charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","3361","test_db_migration","tests.integration.flask","2026-08-15","passed","2026-08-15","","test_db_migration","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","108754","test_smtp_integrations[django_app-8000]","tests.integration.integrations","2026-08-15","passed","2026-08-15","","test_smtp","",""
"
    arrange: Flask and redis deployed and integrated.
    act: Scale the app to the desired number of units.
    assert: There should be only one scheduler and as many workers as units. That will
            be checked because the scheduler is constantly sending tasks with its hostname
            to the workers, and the workers will put its own hostname and the schedulers
            hostname in Redis sets. Those sets are checked through the Flask app,
            that queries Redis.
    ","22266","test_workers_and_scheduler_services[1]","tests.integration.flask","2026-08-15","passed","2026-08-15","","test_workers","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","186","test_app_config[dict]","tests.integration.flask","2026-08-15","passed","2026-08-15","","test_flask_configs","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","164081","test_oauth_integrations[expressjs_app-login]","tests.integration.integrations","2026-08-15","passed","2026-08-15","","test_oauth","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","200661","test_flask_webserver_timeout[timeout=7]","tests.integration.flask","2026-08-15","passed","2026-08-15","","test_charm","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","164782","test_loki_integration[expressjs_app-8080]","tests.integration.integrations","2026-08-15","passed","2026-08-15","","test_loki","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","","test_non_root_db_migration[FastAPI non-root]","tests.integration.general","","unknown","","","test_non_root_db_migration","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","141354","test_rabbitmq_server_integration[flask_app-8000-rabbitmq_k8s_app]","tests.integration.integrations","2026-08-15","passed","2026-08-15","","test_rabbitmq","",""
