"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the ExpressJS charm.
    act: call the endpoint.
    assert: the charm should respond with 200 OK.
    ","328","test_expressjs_is_up","tests.integration.expressjs","2026-05-16","passed","2026-05-16","","test_expressjs","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","245","test_app_config[bool]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_flask_configs","",""
"
    arrange: deploy Flask and Tempo, and relate tracing.
    act: send requests to Flask root endpoint.
    assert: gunicorn access logs include traceId and spanId.
    ","22832","test_flask_access_logs_have_trace_correlation","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_tracing","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","47205","test_non_root_db_migration[FastAPI non-root]","tests.integration.general","2026-05-16","passed","2026-05-16","","test_non_root_db_migration","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","44094","test_openfga_integrations[flask_app-8000]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_openfga","",""
"
    arrange: flask charm with paas-config.yaml containing custom scrape_configs, scaled to 2 units.
    act: establish relation with prometheus charm.
    assert: prometheus scrapes framework default jobs (port 9102 on 2 units), custom jobs
        (port 8081 on 2 units using wildcard), and scheduler-only job (port 8082 on unit 0 only
        using @scheduler placeholder). Verify custom labels and @scheduler resolves to unit 0 FQDN.
    ","57655","test_prometheus_custom_scrape_configs","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_prometheus","",""
"
    arrange: build and deploy the fastapi charm. Set the config user-defined-config to a new value.
    act: call the endpoint to get the value of the env variable related to the config.
    assert: the value of the env variable and the config should match.
    ","5677","test_user_defined_config","tests.integration.fastapi","2026-05-16","passed","2026-05-16","","test_fastapi","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the MySQL database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","35472","test_with_mysql[spring_boot_mysql_app-8080-mysql/status]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_mysql","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","51406","test_prometheus_integration[go_app-8081-/metrics]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_prometheus","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","172565","test_flask_webserver_timeout[timeout=3]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_charm","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","57371","test_prometheus_integration[fastapi_app-8080-/metrics]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_prometheus","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","53631","test_grafana_integration[spring_boot_app-Spring Boot Operator]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_grafana","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","222","test_app_config[dict]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","52319","test_prometheus_integration[flask_app-9102-/metrics]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_prometheus","",""
"
    arrange: Django is deployed with async enabled rock. Change gunicorn worker class.
    act: Do 15 requests that would take 2 seconds each.
    assert: All 15 requests should be served in under 3 seconds.
    ","5493","test_async_workers","tests.integration.django","2026-05-16","passed","2026-05-16","","test_workers","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","223","test_invalid_flask_config[permanent_session_lifetime]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_flask_configs","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","62348","test_rabbitmq_server_integration[flask_app-8000-rabbitmq_server_app]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_rabbitmq","",""
"
    arrange: build and deploy the flask charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","80344","test_with_database[postgresql/status-postgresql-k8s-14/edge-None-True]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_database","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","72875","test_non_root_loki_integration[ExpressJS non-root]","tests.integration.general","2026-05-16","passed","2026-05-16","","test_non_root_loki","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","112311","test_grafana_integration[django_app-Django Operator]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_grafana","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","288279","test_oauth_integrations[spring_boot_app-oauth2/authorization/oidc]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_oauth","",""
"
    arrange: build and deploy the ExpressJS charm. Set the config user-defined-config to a new value.
    act: call the endpoint to get the value of the env variable related to the config.
    assert: the value of the env variable and the config should match.
    ","5930","test_user_defined_config","tests.integration.expressjs","2026-05-16","passed","2026-05-16","","test_expressjs","",""
"
    arrange: after Go charm has been deployed.
    act: integrate with the traefik charm with the ingress integration and change app-port configuration.
    assert: charm opened ports should change accordingly.
    ","11412","test_open_ports","tests.integration.go","2026-05-16","failed","2026-05-16","","test_go","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","218","test_app_config[int]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_flask_configs","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","443707","test_rabbitmq_server_integration[go_app-8080-rabbitmq_server_app]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_rabbitmq","",""
"
    arrange: build and deploy the Springboot charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the migration script.
        Then try to add same user twice.
    assert: the Springboot application should add the user only once.
    ","943","test_migration","tests.integration.springboot","2026-05-16","passed","2026-05-16","","test_charm","",""
"
    arrange: build and deploy the fastapi charm.
    act: send a request to the fastapi application managed by the fastapi charm.
    assert: the fastapi application should return a correct response.
    ","229","test_fastapi_is_up","tests.integration.fastapi","2026-05-16","passed","2026-05-16","","test_fastapi","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the redis database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","51402","test_with_redis[flask_app-8000-redis/status]","tests.integration.integrations","2026-05-16","passed","2026-05-16","","test_redis","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","217","test_app_config[str]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_flask_configs","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","213","test_app_config[builtin]","tests.integration.flask","2026-05-16","passed","2026-05-16","","test_flask_configs","",""
