"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the flask charm, and change secret configurations.
    act: query flask environment variables from the Flask server.
    assert: the flask environment variables should match secret configuration values.
    ","219","test_flask_secret_config[secret_key]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_flask_configs","",""
"
    arrange: build and deploy the go charm. Set the config user-defined-config to a new value.
    act: call the endpoint to get the value of the env variable related to the config.
    assert: the value of the env variable and the config should match.
    ","6176","test_user_defined_config","tests.integration.go","2026-08-08","passed","2026-08-08","","test_go","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","55670","test_grafana_integration[expressjs_app-ExpressJS Operator]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_grafana","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the redis database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","128223","test_with_redis[spring_boot_app-8080-redis/status]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_redis","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","162434","test_workload_tracing[django_app-8000]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_tracing","",""
"
    arrange: Deploy 12-factor app and http proxy configurator correctly configured.
    act: Relate the http proxy configurator with the 12-factor app.
    assert: The correct proxy env vars from the relation are set in the 12-factor app.
    ","69602","test_proxy_integration[flask_app-8000]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_http_proxy","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","115644","test_prometheus_integration[django_app-9102-/metrics]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_prometheus","",""
"
    arrange: build and deploy the flask charm.
    act: add a unit and request env variables through the unit IP addresses.
    assert: the peer address must be present in the units' env.
    ","107097","test_app_peer_address","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_charm","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","45555","test_openfga_integrations[django_app-8000]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_openfga","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","117027","test_non_optional[django]","tests.integration.general","2026-08-08","passed","2026-08-08","","test_config","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the MongoDB database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","82395","test_with_mongodb[flask_app-8000-mongodb/status]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_mongodb","",""
"
    arrange: build and deploy the fastapi charm.
    act: send a request to the fastapi application managed by the fastapi charm.
    assert: the fastapi application should return a correct response.
    ","250","test_fastapi_is_up","tests.integration.fastapi","2026-08-08","passed","2026-08-08","","test_fastapi","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","41348","test_s3_integration[flask_app-8000]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_s3","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","159117","test_loki_integration[fastapi_app-8080]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_loki","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","245","test_app_config[int]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_flask_configs","",""
"
    arrange: build and deploy the django charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the django application managed by the django charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","9791","test_django_webserver_timeout[timeout=5]","tests.integration.django","2026-08-08","passed","2026-08-08","","test_django","",""
"
    arrange: Flask is deployed with async enabled rock. Change gunicorn worker class.
    act: Do 15 requests that would take 2 seconds each.
    assert: All 15 requests should be served in under 3 seconds.
    ","5335","test_async_workers","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_workers","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the MongoDB database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","122010","test_with_mongodb[spring_boot_app-8080-mongodb/status]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_mongodb","",""
"
    arrange: build and deploy the django charm, and change the django related configuration.
    act: send request to the django application to retrieve the corresponding settings.
    assert: settings in django application correctly updated according to the charm configuration.
    ","494","test_django_charm_config[allowed-host]","tests.integration.django","2026-08-08","passed","2026-08-08","","test_django","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","330675","test_rabbitmq_server_integration[go_app-8080-rabbitmq_server_app]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_rabbitmq","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","218","test_flask_config[env]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_flask_configs","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","49067","test_openfga_integrations[flask_app-8000]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_openfga","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","216","test_invalid_flask_config[permanent_session_lifetime]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_flask_configs","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","217","test_app_config[str]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_flask_configs","",""
"
    arrange: build and deploy the Springboot charm.
    act: call the endpoint.
    assert: the charm should respond with 200 OK.
    ","10643","test_springboot_is_up","tests.integration.springboot","2026-08-08","passed","2026-08-08","","test_charm","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[expressjs_app-login]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: Integrate the Charm with saml-integrator, with a real SP.
    act: Call the endpoint to get env variables.
    assert: Valid Saml env variables should be in the workload.
    ","70333","test_saml_integration[flask_app-8000]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_saml","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","47774","test_openfga_integrations[go_app-8080]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_openfga","",""
"
    arrange: build and deploy the ExpressJS charm.
    act: call the endpoint.
    assert: the charm should respond with 200 OK.
    ","343","test_expressjs_is_up","tests.integration.expressjs","2026-08-08","passed","2026-08-08","","test_expressjs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","118969","test_grafana_integration[django_app-Django Operator]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_grafana","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","172976","test_flask_webserver_timeout[timeout=3]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_charm","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","66692","test_smtp_integrations[flask_app-8000]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_smtp","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","186655","test_flask_webserver_timeout[timeout=5]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_charm","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","56901","test_prometheus_integration[expressjs_app-8080-/metrics]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_prometheus","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","62007","test_rabbitmq_server_integration[flask_app-8000-rabbitmq_server_app]","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_rabbitmq","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[fastapi_app-login]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: after Go charm has been deployed.
    act: integrate with the traefik charm with the ingress integration and change app-port configuration.
    assert: charm opened ports should change accordingly.
    ","4024","test_open_ports","tests.integration.go","2026-08-08","failed","2026-08-08","","test_go","",""
"
    arrange: build and deploy the flask charm, and deploy the ingress.
    act: relate the ingress charm with the Flask charm.
    assert: requesting the charm through traefik should return a correct response,
         and the BASE_URL config should be correctly set (FLASK_BASE_URL env variable).
    ","21811","test_with_ingress","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_charm","",""
"
    arrange: deploy Flask and Tempo, and relate tracing.
    act: send requests to Flask root endpoint.
    assert: gunicorn access logs include traceId and spanId.
    ","22803","test_flask_access_logs_have_trace_correlation","tests.integration.integrations","2026-08-08","passed","2026-08-08","","test_tracing","",""
"
    arrange: build and deploy the flask charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","111909","test_with_database[postgresql/status-postgresql-k8s-14/edge-None-True]","tests.integration.flask","2026-08-08","passed","2026-08-08","","test_database","",""
