"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","175","test_invalid_flask_config[permanent_session_lifetime]","tests.integration.flask","2026-08-29","passed","2026-08-29","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","55341","test_prometheus_integration[expressjs_app-8080-/metrics]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_prometheus","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","62116","test_workload_tracing[fastapi_app-8080]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_tracing","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","61624","test_rabbitmq_server_integration[flask_app-8000-rabbitmq_server_app]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_rabbitmq","",""
"
    arrange: build and deploy the flask charm.
    act: send a request to the flask application managed by the flask charm.
    assert: the flask application should return a correct response.
    ","181","test_flask_is_up","tests.integration.flask","2026-08-29","passed","2026-08-29","","test_charm","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","103733","test_non_root_db_migration[ExpressJS non-root]","tests.integration.general","2026-08-29","passed","2026-08-29","","test_non_root_db_migration","",""
"
    arrange: build and deploy the ExpressJS charm.
    act: call the endpoint.
    assert: the charm should respond with 200 OK.
    ","239","test_expressjs_is_up","tests.integration.expressjs","2026-08-29","passed","2026-08-29","","test_expressjs","",""
"
    arrange: Flask and redis deployed and integrated.
    act: Scale the app to the desired number of units.
    assert: There should be only one scheduler and as many workers as units. That will
            be checked because the scheduler is constantly sending tasks with its hostname
            to the workers, and the workers will put its own hostname and the schedulers
            hostname in Redis sets. Those sets are checked through the Flask app,
            that queries Redis.
    ","23120","test_workers_and_scheduler_services[1]","tests.integration.flask","2026-08-29","passed","2026-08-29","","test_workers","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","104109","test_smtp_integrations[django_app-8000]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_smtp","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","167326","test_loki_integration[flask_app-8000]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_loki","",""
"Build and deploy the flask charm.","32461","test_proxy","tests.integration.flask","2026-08-29","passed","2026-08-29","","test_proxy","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","","test_non_root_loki_integration[ExpressJS non-root]","tests.integration.general","","unknown","","","test_non_root_loki","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[django_app-auth_login]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","93777","test_rabbitmq_server_integration[go_app-8080-rabbitmq_k8s_app]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_rabbitmq","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","158318","test_loki_integration[expressjs_app-8080]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_loki","",""
"
    arrange: Flask is deployed with async enabled rock. Change gunicorn worker class.
    act: Do 15 requests that would take 2 seconds each.
    assert: All 15 requests should be served in under 3 seconds.
    ","5450","test_async_workers","tests.integration.flask","2026-08-29","passed","2026-08-29","","test_workers","",""
"
    arrange: deploy the FastAPI charm with framework_logging_format=json in paas-config.yaml.
    act: make a request to GET /boom (access log + error log with exception).
    assert: container logs contain valid JSON with OTEL fields, trace correlation, and exception info.
    ","1498","test_json_logging","tests.integration.fastapi","2026-08-29","passed","2026-08-29","","test_fastapi","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","171","test_invalid_flask_config[preferred_url_scheme]","tests.integration.flask","2026-08-29","passed","2026-08-29","","test_flask_configs","",""
"
    arrange: Integrate the Charm with saml-integrator, with a real SP.
    act: Call the endpoint to get env variables.
    assert: Valid Saml env variables should be in the workload.
    ","65927","test_saml_integration[flask_app-8000]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_saml","",""
"
    arrange: build and deploy the go charm.
    act: send a request to the go application managed by the go charm.
    assert: the go application should return a correct response.
    ","474","test_go_is_up","tests.integration.go","2026-08-29","passed","2026-08-29","","test_go","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","46461","test_non_root_db_migration[FastAPI non-root]","tests.integration.general","2026-08-29","passed","2026-08-29","","test_non_root_db_migration","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the redis database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","122703","test_with_redis[spring_boot_app-8080-redis/status]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_redis","",""
"
    arrange: build and deploy the django charm with database migration enabled.
    act: access an endpoint requiring database.
    assert: request succeed.
    ","561","test_django_database_migration","tests.integration.django","2026-08-29","passed","2026-08-29","","test_django","",""
"
    arrange: flask charm with paas-config.yaml containing custom scrape_configs, scaled to 2 units.
    act: establish relation with prometheus charm.
    assert: prometheus scrapes framework default jobs (port 9102 on 2 units), custom jobs
        (port 8081 on 2 units using wildcard), and scheduler-only job (port 8082 on unit 0 only
        using @scheduler placeholder). Verify custom labels and @scheduler resolves to unit 0 FQDN.
    ","59063","test_prometheus_custom_scrape_configs","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_prometheus","",""
"
    arrange: build and deploy the flask charm without ingress. Get the service ip
        address.
    act: request env variables through the service ip address.
    assert: the request should success and the env variable FLASK_BASE_URL
        should point to the service.
    ","459","test_port_without_ingress","tests.integration.flask","2026-08-29","passed","2026-08-29","","test_charm","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","52824","test_openfga_integrations[fastapi_app-8080]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_openfga","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","56248","test_grafana_integration[flask_app-Flask Operator]","tests.integration.integrations","2026-08-29","passed","2026-08-29","","test_grafana","",""
